added_lines	deleted_lines	path
45	0	androidApp/src/test/java/com/cruxcoach/android/data/BoardDownloadSelectionTest.kt
260	0	androidApp/src/test/java/com/cruxcoach/android/data/BoardDownloadSyncTest.kt
137	0	androidApp/src/test/java/com/cruxcoach/android/data/BoardImportIndexesTest.kt
72	0	androidApp/src/test/java/com/cruxcoach/android/data/BoardImportRetryTest.kt
147	0	androidApp/src/test/java/com/cruxcoach/android/data/BoardSyncConnectivityTest.kt
62	0	androidApp/src/test/java/com/cruxcoach/android/data/BoardSyncSelectionQueueTest.kt
60	2	androidApp/src/test/java/com/cruxcoach/android/data/LocalShareModernSchemaTest.kt
794	0	androidApp/src/test/java/com/cruxcoach/android/data/MoonBoardBetaSnapshotImportTest.kt
42	0	androidApp/src/test/java/com/cruxcoach/android/data/NewestSortBrowseTest.kt
34	0	androidApp/src/test/java/com/cruxcoach/android/data/PerBoardDataDeletionTest.kt
22	0	androidApp/src/test/java/com/cruxcoach/android/data/UserPreferencesMoonBoardHoldSetsTest.kt
96	0	androidApp/src/test/java/com/cruxcoach/android/data/blossom/BlossomBetaImportUpgradeTest.kt
14	0	androidApp/src/test/java/com/cruxcoach/android/data/blossom/BlossomManifestRollbackTest.kt
1	1	androidApp/src/test/java/com/cruxcoach/android/data/kilter/KilterSyncEngineBackfillTest.kt
46	0	androidApp/src/test/java/com/cruxcoach/android/data/kilter/KilterUploadDiagnosticsTest.kt
125	0	androidApp/src/test/java/com/cruxcoach/android/data/kilter/KilterUploadHttpTest.kt
195	0	androidApp/src/test/java/com/cruxcoach/android/data/kilter/KilterUploadStatusTest.kt
4	0	androidApp/src/test/java/com/cruxcoach/android/fakes/FakeBoardRepository.kt
28	6	androidApp/src/test/java/com/cruxcoach/android/nostr/NostrRelayPoolContractTest.kt
12	0	androidApp/src/test/java/com/cruxcoach/android/nostr/backup/BackupPreferencesIntervalTest.kt
41	0	androidApp/src/test/java/com/cruxcoach/android/nostr/backup/BackupPublicationSafetyTest.kt
25	0	androidApp/src/test/java/com/cruxcoach/android/nostr/backup/BlossomErrorPrivacyTest.kt
26	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/AscentLoggerQuickLogTest.kt
109	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/BetaThumbnailCacheTest.kt
69	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/BetaThumbnailUrlsTest.kt
63	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/BetaVideoLinkIntentTest.kt
51	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/BoardBrowserHeaderTest.kt
17	2	androidApp/src/test/java/com/cruxcoach/android/ui/board/BoardClimbDetailLogbookFallbackTest.kt
4	4	androidApp/src/test/java/com/cruxcoach/android/ui/board/BoardDeliveryPolicyTest.kt
30	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/BoardLogbookOwnPublishTest.kt
142	1	androidApp/src/test/java/com/cruxcoach/android/ui/board/BoardStatsComputerTest.kt
80	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/BoardStatsHelpTest.kt
93	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/BoardStatusFilterTest.kt
49	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/BrowseRefillTest.kt
54	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/BrowseResultCountTest.kt
232	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/BrowserUxTest.kt
63	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/ClimbCardAccessibilityTest.kt
50	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/MoonBoardMarkerContrastTest.kt
87	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/sync/BoardCatalogueStatusTest.kt
126	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/sync/BoardDownloadOnboardingTest.kt
82	0	androidApp/src/test/java/com/cruxcoach/android/ui/board/sync/CatalogueSelectionFlowTest.kt
34	0	androidApp/src/test/java/com/cruxcoach/android/ui/devcontact/DevContactViewModelReplyTest.kt
37	8	androidApp/src/test/java/com/cruxcoach/android/ui/map/MapFiltersTest.kt
58	0	androidApp/src/test/java/com/cruxcoach/android/ui/map/MapSearchTest.kt
47	0	androidApp/src/test/java/com/cruxcoach/android/ui/map/MapStatsScreenTest.kt
40	0	androidApp/src/test/java/com/cruxcoach/android/ui/map/MapStatsTest.kt
10	0	androidApp/src/test/java/com/cruxcoach/android/ui/map/MapVenueTest.kt
26	0	androidApp/src/test/java/com/cruxcoach/android/ui/map/PagesBoardMapParserTest.kt
73	0	androidApp/src/test/java/com/cruxcoach/android/ui/onboarding/BrowserTourTest.kt
53	0	androidApp/src/test/java/com/cruxcoach/android/ui/onboarding/ImportSourceCardTest.kt
112	0	androidApp/src/test/java/com/cruxcoach/android/ui/onboarding/OnboardingDataStepTest.kt
109	0	androidApp/src/test/java/com/cruxcoach/android/ui/onboarding/OnboardingDownloadSelectionTest.kt
80	0	androidApp/src/test/java/com/cruxcoach/android/ui/onboarding/TourSkipLayoutTest.kt
54	0	androidApp/src/test/java/com/cruxcoach/android/ui/playlist/PlaylistGeneratorBoardScopeTest.kt
87	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/AccountBackupDialogTest.kt
121	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/AccountBackupFlowTest.kt
27	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/AccountMethodChangeTest.kt
313	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/AccountScreensTest.kt
60	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/AmberRestoreScreenTest.kt
67	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/BackupKeyHintTest.kt
59	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/BoardDownloadDialogTest.kt
4	4	androidApp/src/test/java/com/cruxcoach/android/ui/settings/BoardHubComposeTest.kt
88	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/BoardImageChoiceTest.kt
69	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/BoardPickerDownloadConsentTest.kt
42	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/BoardPickerDownloadPreferenceTest.kt
101	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/KilterUploadStatusUiTest.kt
17	2	androidApp/src/test/java/com/cruxcoach/android/ui/settings/MoonBoardHoldSetPickerTest.kt
64	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/MoonBoardPickerDraftTest.kt
55	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/SettingsBackupDialogsTest.kt
5	3	androidApp/src/test/java/com/cruxcoach/android/ui/settings/SettingsBoardGroupingTest.kt
93	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/SettingsControlsTest.kt
84	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/SettingsDataSafetyTest.kt
181	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/SettingsInfoTest.kt
58	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/SettingsKilterDialogsTest.kt
118	0	androidApp/src/test/java/com/cruxcoach/android/ui/settings/SettingsNavigationTest.kt
38	0	androidApp/src/test/java/com/cruxcoach/android/ui/theme/CruxCoachDesignTokensTest.kt
11	0	androidApp/src/test/java/com/cruxcoach/android/updater/IntegrityVerifierArchiveTrustTest.kt
4	0	androidApp/src/test/java/com/cruxcoach/android/updater/UpdateCheckerThrottleTest.kt
8	8	androidApp/src/test/java/com/cruxcoach/android/updater/UpdaterRepositoryFallbackTest.kt
132	3	androidApp/src/test/java/com/cruxcoach/android/updater/UpdaterRepositoryReArmTest.kt
25	0	androidApp/src/test/java/com/cruxcoach/android/util/LocalShareProtocolTest.kt
9	0	build.gradle.kts
133	0	design.md
4	0	docs/FIPS_DEVICE_TEST_PROTOCOL.md
4	0	docs/FIPS_MESH_ARCHITEKTURVERGLEICH.md
4	0	docs/IOS_BOARD_ACCESS.md
10	4	docs/KEY_ROTATION.md
60	8	docs/README.md
85	8	docs/RELEASE_GITHUB.md
228	0	docs/de/CORE_CONCEPTS.md
12	8	docs/de/FIPS_MESH_ARCHITECTURE_COMPARISON.md
4	2	docs/de/README.md
-	-	docs/design-review/navigation-v023/variant-a-nokia.png
-	-	docs/design-review/navigation-v023/variant-b-nokia.png
-	-	docs/design-review/navigation-v023/variant-c-compact-picker-nokia.png
-	-	docs/design-review/navigation-v023/variant-c-main-drawer-nokia.png
232	0	docs/en/CORE_CONCEPTS.md
13	9	docs/en/FIPS_MESH_ARCHITECTURE_COMPARISON.md
4	2	docs/en/README.md
7	2	docs/nostr-architecture.md
68	0	docs/releases/0.2.3-branch-integration-2026-09-17.md
608	0	docs/releases/0.2.3-browser-ux-validation.md
94	0	docs/releases/0.2.3-pre-release.md
60	0	docs/releases/0.2.3-validation-2026-09-17.md
4	0	docs/research/2026-08-12-myco-fips-evaluation.md
288	0	docs/research/2026-09-16-kilter-log-upload-investigation.md
5	0	docs/specs/0.2.3/COMPETITION-CROSS-CLIENT-CONTRACT.md
5	0	docs/specs/0.2.3/COMPETITION-PRIVACY-OFFLINE-ONLINE.md
6	0	docs/specs/0.2.3/FEAT-058-competition-protocol.md
6	0	docs/specs/0.2.3/FEAT-058-competitions.md
5	0	docs/specs/0.2.3/FEAT-058-conformance.md
5	0	docs/specs/0.2.3/FEAT-058-decisions.md
6	0	docs/specs/0.2.3/FEAT-059-offline-board-cell-fips-mesh.md
5	0	docs/specs/0.2.3/OFFLINE-BOARDCELL-FIPS-ARCHITECTURE.md
125	0	docs/specs/0.2.3/board-download-selection.md
11	4	docs/specs/INDEX.md
32	42	docs/specs/README.md
38	85	docs/testing.md
13	0	flows/settings-task-navigation.expects
90	0	flows/settings-task-navigation.yaml
32	0	scripts/ci-test-problems.json
55	0	scripts/update_board_map_assets.py
5	0	shared/src/commonMain/kotlin/com/cruxcoach/data/repository/BoardLocationRepository.kt
25	1	shared/src/commonMain/kotlin/com/cruxcoach/data/repository/BoardRepository.kt
135	15	shared/src/commonMain/kotlin/com/cruxcoach/data/repository/BoardRepositoryImpl.kt
15	0	shared/src/commonMain/kotlin/com/cruxcoach/domain/playlist/PlaylistGeneratorParams.kt
69	10	shared/src/commonMain/kotlin/com/cruxcoach/domain/playlist/PlaylistPlanner.kt
1	0	shared/src/commonMain/kotlin/com/cruxcoach/domain/playlist/TrainingRanges.kt
28	0	shared/src/commonMain/sqldelight/board/29.sqm
8	0	shared/src/commonMain/sqldelight/board/30.sqm
175	12	shared/src/commonMain/sqldelight/board/com/cruxcoach/db/board/Board.sq
34	0	shared/src/commonTest/kotlin/com/cruxcoach/domain/playlist/PlaylistPlannerTest.kt
4	0	shared/src/commonTest/kotlin/com/cruxcoach/usecase/FakeRepositories.kt
